directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,test_to_log,cursor_visibility,rotation,trial_type,target_angle,example_object_movement_filename
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,126,2,94,570.6279,574.9058,A,True,30,rotated_1_1,140,example_object_movement_T126.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,127,2,95,574.9058,581.9614,A,True,30,rotated_1_1,130,example_object_movement_T127.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,128,2,96,581.9614,587.6504,A,True,30,rotated_1_1,140,example_object_movement_T128.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,129,2,97,587.6504,592.6282,A,True,30,rotated_1_1,130,example_object_movement_T129.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,130,2,98,592.6282,595.5281,A,True,30,rotated_1_1,140,example_object_movement_T130.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,131,2,99,595.5281,598.4059,A,True,30,rotated_1_1,130,example_object_movement_T131.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,132,2,100,598.4059,607.2617,A,True,30,rotated_1_1,140,example_object_movement_T132.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,133,3,1,607.2617,610.6616,A,True,30,rotated_1_2,130,example_object_movement_T133.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,134,3,2,610.6616,614.5283,A,True,30,rotated_1_2,140,example_object_movement_T134.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,135,3,3,614.5283,619.2841,A,True,30,rotated_1_2,130,example_object_movement_T135.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,136,3,4,619.2841,622.7062,A,True,30,rotated_1_2,140,example_object_movement_T136.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,137,3,5,622.7062,627.0284,A,True,30,rotated_1_2,140,example_object_movement_T137.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,138,3,6,627.0284,637.1508,A,True,30,rotated_1_2,130,example_object_movement_T138.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,139,3,7,637.1508,642.2509,A,True,30,rotated_1_2,140,example_object_movement_T139.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,140,3,8,642.2509,646.5286,A,True,30,rotated_1_2,130,example_object_movement_T140.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,141,3,9,646.5286,649.2841,A,True,30,rotated_1_2,130,example_object_movement_T141.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,142,3,10,649.2841,651.9624,A,True,30,rotated_1_2,140,example_object_movement_T142.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,143,3,11,651.9624,654.7068,A,True,30,rotated_1_2,140,example_object_movement_T143.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,144,3,12,654.7068,657.4068,A,True,30,rotated_1_2,130,example_object_movement_T144.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,145,4,1,657.4068,660.1067,A,False,0,clamped_1,130,example_object_movement_T145.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,146,4,2,660.1067,662.9067,A,False,0,clamped_1,140,example_object_movement_T146.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,147,4,3,662.9067,665.5067,A,False,0,clamped_1,130,example_object_movement_T147.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,148,4,4,665.5067,668.1401,A,False,0,clamped_1,140,example_object_movement_T148.csv
